medcode,readcode,readterm
59499,B833100,Carcinoma in situ of fallopian tube
59520,B300200,Malignant neoplasm of malar bone
59718,B542z00,Malig neop pituitary gland or craniopharyngeal duct NOS
59755,B61z200,Hodgkin's disease NOS of intrathoracic lymph nodes
59778,B61z100,"Hodgkin's disease NOS of lymph nodes of head, face and neck"
59823,B542.00,Malignant neoplasm pituitary gland and craniopharyngeal duct
59831,B340z00,Malignant neoplasm of nipple or areola of female breast NOS
59918,BB5f200,"[M]Follicular adenocarcinoma, well differentiated type"
60035,B310300,Malignant neoplasm of cartilage of ear
60045,BB5M100,[M]Tubular adenocarcinoma
60052,B55yz00,Malignant neoplasm of specified site NOS
60092,B62y700,Malignant lymphoma NOS of spleen
60134,B581000,Secondary malignant neoplasm of ureter
60242,B600000,Reticulosarcoma of unspecified site
60247,B314z00,Malig neop of connective and soft tissue of abdomen NOS
60275,BBgJ.00,"[M]Malignant lymphoma, centroblastic type NOS"
60312,B16y.00,Malignant neoplasm other gallbladder/extrahepatic bile duct
60335,B58y400,Secondary malignant neoplasm of vulva
60403,B303300,Malignant neoplasm of costal cartilage
60477,B804.00,Carcinoma in situ of rectum and rectosigmoid junction
60511,B80..00,Carcinoma in situ of digestive organs
60772,B450z00,Malignant neoplasm of vagina NOS
60775,BB5h100,[M]Adrenal cortical carcinoma
61064,B24X.00,"Malignant neoplasm of mediastinum, part unspecified"
61149,B614300,Hodgkin's nodular sclerosis of intra-abdominal lymph nodes
61246,B327600,Malignant melanoma of heel
61289,B564100,Secondary and unspec malig neop deep inguinal lymph nodes
61390,B540000,Malignant neoplasm of adrenal cortex
61399,B510100,Malignant neoplasm of cerebral cortex
61467,BB5f300,"[M]Follicular adenocarcinoma, trabecular type"
61500,B690.00,Acute myelomonocytic leukaemia
61510,B062200,Malignant neoplasm of palatoglossal arch
61542,BBQ7400,"[M]Malignant teratoma, undifferentiated type"
61555,B180z00,Malignant neoplasm of retroperitoneum NOS
61588,BB85000,[M]Signet ring cell carcinoma
61643,B151z00,Malignant neoplasm of intrahepatic bile ducts NOS
61662,B61z000,"Hodgkin's disease NOS, unspecified site"
61677,B562200,Secondary and unspec malig neop inferior mesenteric LN
61692,B004.00,"Malignant neoplasm of lip unspecified, inner aspect"
61693,ByuD600,[X]Other myeloid leukaemia
61695,B100.00,Malignant neoplasm of cervical oesophagus
61716,B524100,"Malignant neoplasm of peripheral nerve,upp limb,incl should"
61741,B304200,Malignant neoplasm of humerus
61803,B832.11,Carcinoma in situ of body of uterus
61984,BB1G.00,[M]Spheroidal cell carcinoma
62088,BBEG.00,[M]Malignant melanoma in Hutchinson's melanotic freckle
62104,B300800,Malignant neoplasm of temporal bone
62124,B561800,Secondary and unspec malig neop bronchopulmonary lymph nodes
62126,B510500,Malignant neoplasm of thalamus
62182,B200300,Malignant neoplasm of vestibule of nose
62199,BB5W.00,[M]Oxyphilic adenomas and adenocarcinomas
62380,B601200,Lymphosarcoma of intrathoracic lymph nodes
62437,B62x400,Malignant reticulosis
62475,B326300,Malignant melanoma of hand
62556,B24..00,"Malignant neoplasm of thymus, heart and mediastinum"
62584,B573.00,Secondary malignant neoplasm of other respiratory organs
62610,B81z.00,Carcinoma in situ of respiratory organ NOS
62630,B307z00,Malignant neoplasm of long bones of leg NOS
62761,B200200,Malignant neoplasm of septum of nose
62828,B581z00,Secondary malignant neoplasm of other urinary organ NOS
62840,B013.00,Malignant neoplasm of ventral surface of tongue
62871,BB92.00,"[M]Comedocarcinoma, noninfiltrating"
62909,B575100,Secondary malignant neoplasm of rectum
63054,B614z00,"Hodgkin's disease, nodular sclerosis NOS"
63087,B802200,Carcinoma in situ of body of stomach
63102,BB5B100,[M]Islet cell carcinoma
63104,B501z00,Malignant neoplasm of orbit NOS
63105,B62y500,Malignant lymphoma NOS of lymph node inguinal region and leg
63224,B48z.00,Malignant neoplasm of penis and other male genital organ NOS
63239,BBm1.00,[M]Malignant histiocytosis
63300,Byu3200,[X]Malignant neoplasm/overlap lesion/bone+articulr cartilage
63331,B485.00,Malignant neoplasm of spermatic cord
63375,ByuDE00,[X]Unspecified B-cell non-Hodgkin's lymphoma
63430,B241000,Malignant neoplasm of endocardium
63460,B213000,Malignant neoplasm of arytenoid cartilage
63470,B102.00,Malignant neoplasm of abdominal oesophagus
63475,B652.00,Subacute myeloid leukaemia
63568,B524000,"Malignant neoplasm of peripheral nerves of head, face & neck"
63574,BBEC.00,[M]Malignant melanoma in junctional naevus
63598,ByuE.00,[X]Malignant neoplasms/independent (primary) multiple sites
63625,B616400,Hodgkin's lymphocytic depletion lymph nodes axilla and arm
63653,B671.11,Heilmeyer - Schoner disease
63657,B503.00,Malignant neoplasm of conjunctiva
63695,B524300,Malignant neoplasm of peripheral nerve of thorax
63699,BBk0.00,"[M]Malignant lymphoma, nodular NOS"
63723,B601z00,Lymphosarcoma NOS
63804,B807100,Carcinoma in situ of jejunum
63915,B564.00,Secondary and unspec malig neop inguinal and lower limb LN
63925,ByuA200,"[X]Malignant neoplasm of meninges, unspecified"
63979,B013100,Malignant neoplasm of frenulum linguae
63988,B311500,Malignant neoplasm of connective and soft tissue of thumb
63994,BBgS.00,"[M]Malignant lymphoma, large cell, cleaved, diffuse"
63995,B123.00,Malignant neoplasm of Meckel's diverticulum
63997,B326500,Malignant melanoma of thumb
64036,B612.00,Hodgkin's sarcoma
64050,B81..00,Carcinoma in situ of respiratory system
64089,B808500,Carcinoma in situ of common bile duct
64106,B18yz00,Malignant neoplasm of specified parts of peritoneum NOS
64116,B561.00,Secondary and unspec malig neop intrathoracic lymph nodes
64195,B54z.00,Malig neop of endocrine gland or related structure NOS
64274,B801100,Carcinoma in situ of middle 1/3 oesophagus
64309,ByuB100,"[X]Malignant neoplasm of endocrine gland, unspecified"
64327,B327z00,Malignant melanoma of lower limb or hip NOS
64336,ByuD300,[X]Other specified types of non-Hodgkin's lymphoma
64345,B311100,"Malignant neoplasm of connective and soft tissue, upper arm"
64427,B62z100,Unspec malig neop lymphoid/histiocytic lymph node head/neck
64462,B083.00,Malignant neoplasm of posterior pharynx
64497,Byu7000,"[X]Malignant neoplasm of uterine adnexa, unspecified"
64515,ByuDC00,"[X]Diffuse non-Hodgkin's lymphoma, unspecified"
64516,B18y400,Malignant neoplasm of parietal peritoneum
64557,B517000,Malignant neoplasm of cerebral peduncle
64567,B63y.00,Other immunoproliferative neoplasms
64602,B470.00,Malignant neoplasm of undescended testis
64670,B601300,Lymphosarcoma of intra-abdominal lymph nodes
64680,B574.00,Secondary malignant neoplasm of small intestine and duodenum
64686,B340100,Malignant neoplasm of areola of female breast
64700,B80z100,Carcinoma in situ of spleen
64810,B551z00,Malignant neoplasm of thorax NOS
64817,B502.00,Malignant neoplasm of lacrimal gland
64848,B304400,Malignant neoplasm of ulna
64897,ByuE000,[X]Malignant neoplasms/independent(primary)multiple sites
64918,B560000,Secondary and unspec malig neop of superficial parotid LN
64971,B520000,Malignant neoplasm of olfactory bulb
65047,BBDA.00,"[M]Phaeochromocytoma, malignant"
65051,BB81500,"[M]Papillary cystadenocarcinoma, NOS"
65106,B44z.00,Malignant neoplasm of uterine adnexa NOS
65122,B624000,Leukaemic reticuloendotheliosis of unspecified sites
65123,B624300,Leukaemic reticuloend of intra-abdominal lymph nodes
65124,B151000,Malignant neoplasm of interlobular bile ducts
65159,B180100,Malignant neoplasm of perinephric tissue
65164,B326.00,Malignant melanoma of upper limb and shoulder
65165,ByuD900,[X]Other leukaemia of unspecified cell type
65180,B627800,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
65215,B205.00,Malignant neoplasm of sphenoidal sinus
65216,BB49.00,[M]Cloacogenic carcinoma
65233,B31y.00,Malig neop connective and soft tissue other specified site
65241,B51y200,"Malignant neoplasm, overlapping lesion of brain"
65253,B560300,Secondary and unspec malignant neoplasm occipital lymph node
65312,B11y000,Malignant neoplasm of anterior wall of stomach NEC
65357,B507100,Malignant neoplasm of nasolacrimal duct
65372,B11yz00,Malignant neoplasm of other specified site of stomach NOS
65434,B62z.00,Malignant neoplasms of lymphoid and histiocytic tissue NOS
65458,B52..00,Malig neop of other and unspecified parts of nervous system
65460,B1z1.00,Malignant neoplasm of spleen NEC
65466,B592X00,Kaposi's sarcoma of multiple organs
65483,B614400,Hodgkin's nodular sclerosis of lymph nodes of axilla and arm
65489,B610.00,Hodgkin's paragranuloma
65490,B58y411,Secondary cancer of the vulva
65599,B520200,Malignant neoplasm of acoustic nerve
65605,B241200,Malignant neoplasm of myocardium
65625,B324.00,Malignant melanoma of scalp and neck
65642,B623300,Malignant histiocytosis of intra-abdominal lymph nodes
65701,B620z00,Nodular lymphoma NOS
65721,B673.00,Mast cell leukaemia
65777,B672.11,Thrombocytic leukaemia
65793,B2z0.00,"Malig neop of upper respiratory tract, part unspecified"
65880,B304z00,Malig neop of scapula and long bones of upper arm NOS
65953,B810300,Carcinoma in situ of arytenoid cartilage
66000,BBB5.00,[M]Adenocarcinoma with apocrine metaplasia
66083,B57z.00,Secondary malig neop of respiratory or digestive system NOS
66088,B312.00,Malig neop of connective and soft tissue of hip and leg
66089,B65yz00,Other myeloid leukaemia NOS
66163,ByuC200,[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions
66166,B124.00,"Malignant neoplasm, overlapping lesion of small intestine"
66327,B620000,Nodular lymphoma of unspecified site
66422,B074.00,"Malignant neoplasm, overlapping lesion of nasopharynx"
66444,Byu2100,"[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura"
66488,B314000,Malig neop of connective and soft tissue of abdominal wall
66541,BB1J.12,[M]Round cell carcinoma
66607,BBL4.00,"[M]Mixed tumour, malignant, NOS"
66639,B303200,Malignant neoplasm of clavicle
66646,B26..00,"Malignant neoplasm, overlap lesion of resp & intrathor orgs"
66673,B808.00,Carcinoma in situ of liver and biliary system
66750,B24z.00,"Malignant neoplasm of heart, thymus and mediastinum NOS"
66775,B560100,Secondary and unspec malignant neoplasm mastoid lymph nodes
66876,BB81E11,[M]Pseudomucinous adenocarcinoma
66908,B306400,Malignant neoplasm of coccygeal vertebra
67029,ByuD500,[X]Other lymphoid leukaemia
67034,Byu5000,[X]Mesothelioma of other sites
67107,B230.00,Malignant neoplasm of parietal pleura
67129,B560z00,Secondary unspec malig neop lymph nodes head/face/neck NOS
67211,B523z00,Malignant neoplasm of spinal meninges NOS
67217,B55y100,Malignant neoplasm of trunk NOS
67236,B512000,Malignant neoplasm of hippocampus
67323,B06y.00,"Malignant neoplasm of oropharynx, other specified sites"
67324,B315100,Malig neop of connective and soft tissue of inguinal region
67339,BBp2.00,[M]Malignant mastocytosis
67342,BB5U100,[M]Adenocarcinoma in villous adenoma
67396,B576.00,Secondary malig neop of retroperitoneum and peritoneum
67451,B30W.00,Malignant neoplasm/overlap lesion/bone+articulr cartilage
67497,B106.00,"Malignant neoplasm, overlapping lesion of oesophagus"
67504,B003000,"Malignant neoplasm of lower lip, buccal aspect"
67506,B614200,Hodgkin's nodular sclerosis of intrathoracic lymph nodes
67518,ByuD100,[X]Other types of follicular non-Hodgkin's lymphoma
67575,A788W00,HIV disease resulting in unspecified malignant neoplasm
67700,B66..12,Monoblastic leukaemia
67701,BB94.11,[M]Secretory breast carcinoma
67703,B616.00,"Hodgkin's disease, lymphocytic depletion"
67712,BBR2.00,[M]Choriocarcinoma
67763,B303400,Malignant neoplasm of costo-vertebral joint
67797,B561600,Secondary and unspec malig neop superfic tracheobronchial LN
67806,B323z00,Malignant melanoma of face NOS
67884,B350100,Malignant neoplasm of areola of male breast
67912,BB26.11,[M]Papillary epidermoid carcinoma
67913,BB6A.00,[M]Ceruminous adenoma and adenocarcinoma
67949,B48y.00,Malignant neoplasm of other male genital organ
67966,BBE1.14,[M]Naevocarcinoma
67970,BB1L.00,"[M]Small cell carcinoma, fusiform cell type"
68027,ByuA000,[X]Malignant neoplasm/other and unspecified cranial nerves
68039,B612400,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
68055,B307.00,Malignant neoplasm of long bones of leg
68133,B323300,Malignant melanoma of forehead
68135,B81y500,Carcinoma in situ of mastoid air cells
68155,B430100,Malignant neoplasm of fundus of corpus uteri
68161,B48y000,Malignant neoplasm of seminal vesicle
68236,B550.00,"Malignant neoplasm of head, neck and face"
68330,B613100,"Hodgkin's, lymphocytic-histiocytic pred of head, face, neck"
68332,ByuC600,[X]2ndry malignant neoplasm/oth+unspec parts/nervous system
68358,B83z.00,Carcinoma in situ of urinary organs NOS
68399,B004200,"Malignant neoplasm of lip unspecified, mucosa"
68410,B150200,Primary angiosarcoma of liver
68456,BB5V100,[M]Chromophobe carcinoma
68480,B350000,Malignant neoplasm of nipple of male breast
68611,B560900,Secondary and unspec malig neop deep cervical LN
68641,B517z00,Malignant neoplasm of brain stem NOS
68757,BB5f700,[M]Nonencapsulated sclerosing carcinoma
68787,B55y000,Malignant neoplasm of back NOS
68824,B48y200,"Malignant neoplasm, overlapping lesion male genital orgs"
68956,BBX1.00,"[M]Giant cell tumour of bone, malignant"
68964,BBgA.00,"[M]Malignant lymphoma, centroblastic-centrocytic, diffuse"
69104,B305100,Malignant neoplasm of carpal bone - lunate
69132,B562400,Secondary and unspec malig neop external iliac lymph nodes
69146,B300z00,Malignant neoplasm of bones of skull and face NOS
69208,B833z00,Carcinoma in situ of female genital organs NOS
69300,BB1F.00,[M]Polygonal cell carcinoma
69301,BBg5.00,"[M]Malignant lymphoma, convoluted cell type NOS"
69392,B561700,Secondary and unspec malig neop inferior tracheobronchial LN
69497,B623000,Malignant histiocytosis of unspecified site
69671,B010.11,Malignant neoplasm of posterior third of tongue
69821,B18y600,Malignant neoplasm of the pouch of Douglas
69927,B308800,Malignant neoplasm of first metatarsal bone
69951,B055100,Malignant neoplasm of roof of mouth
69980,BBgC.00,"[M]Malignant lymphoma, lymphocytic, well differentiated NOS"
69981,BBe7.00,"[M]Neurilemmoma, malignant"
70026,B574z00,Secondary malig neop of small intestine or duodenum NOS
70104,B521z00,Malignant neoplasm of cerebral meninges NOS
70126,B520100,Malignant neoplasm of optic nerve
70374,B600300,Reticulosarcoma of intra-abdominal lymph nodes
70383,BBM0100,"[M]Brenner tumour, malignant"
70463,B315000,Malignant neoplasm of connective and soft tissue of buttock
70509,B627D00,Diffuse non-Hodgkin's centroblastic lymphoma
70637,B320.00,Malignant melanoma of lip
70696,B02y.00,Malignant neoplasm of other major salivary glands
70716,B62zz11,Immunoproliferative neoplasm
70724,B653.00,Myeloid sarcoma
70728,B807z00,Carcinoma in situ other and unspecified small intestine NOS
70729,B431z00,Malignant neoplasm of isthmus of uterine body NOS
70736,B58y300,Secondary malignant neoplasm of vagina
70740,BBm1.11,[M]Malignant reticulosis
70747,B564z00,Secondary and unspec malig neop of inguinal and leg LN NOS
70819,B055.00,Malignant neoplasm of palate unspecified
70824,B540z00,Malignant neoplasm of adrenal gland NOS
70842,B627100,Follicular non-Hodg mixed sml cleavd & lge cell lymphoma
70928,B022.00,Malignant neoplasm of sublingual gland
70942,B510400,Malignant neoplasm of hypothalamus
71031,B600100,"Reticulosarcoma of lymph nodes of head, face and neck"
71117,BBg3.00,"[M]Malignant lymphoma, undifferentiated cell type NOS"
71136,B323100,Malignant melanoma of chin
71139,B51y.00,Malignant neoplasm of other parts of brain
71142,B613000,"Hodgkin's, lymphocytic-histiocytic predominance unspec site"
71147,B003.00,"Malignant neoplasm of lower lip, inner aspect"
71204,B200000,Malignant neoplasm of cartilage of nose
71238,B601100,"Lymphosarcoma of lymph nodes of head, face and neck"
71262,B62y600,Malignant lymphoma NOS of intrapelvic lymph nodes
71301,BBQA100,"[M]Struma ovarii, malignant"
71304,B602z00,Burkitt's lymphoma NOS
71497,BB5W100,[M]Oxyphilic adenocarcinoma
71584,B507.00,Malignant neoplasm of lacrimal duct
71609,B62z500,Unspec malig neop lymphoid/histiocytic nodes inguinal/leg
71619,BBgT.00,"[M]Malignant lymphoma, large cell, noncleaved, diffuse"
71625,B601000,Lymphosarcoma of unspecified site
71627,BB61200,[M]Sweat gland adenocarcinoma
71652,BBgP.00,"[M]Malignant lymphoma, mixed small and large cell, diffuse"
71810,B304.00,Malignant neoplasm of scapula and long bones of upper arm
71895,BB56.00,[M]Superficial spreading adenocarcinoma
71946,B201300,Malignant neoplasm of mastoid air cells
72127,B484.00,Malignant neoplasm of epididymis
72174,B4A4.00,Malignant neoplasm of paraurethral glands
72196,BBgG.00,"[M]Malignant lymphoma, lymphocytic, poorly different NOS"
72197,B67y000,Lymphosarcoma cell leukaemia
72212,B308200,Malignant neoplasm of calcaneum
72224,B1z1100,Fibrosarcoma of spleen
72443,BBZ2.00,"[M]Odontogenic tumour, malignant"
72445,B161000,Malignant neoplasm of cystic duct
72464,B305.12,Malignant neoplasm of metacarpal bones
72500,ByuDB00,"[X]Mal neoplasm/lymphoid,haematopoietic+related tissu,unspcf"
72522,B313200,Malignant neoplasm of great vessels
72695,ByuFA00,[X]Carcinoma in situ of other parts of cervix
72713,B562100,Secondary and unspec malig neop superficial mesenteric LN
72714,B621500,Mycosis fungoides of lymph nodes of inguinal region and leg
72723,B430000,Malignant neoplasm of cornu of corpus uteri
72725,B62y200,Malignant lymphoma NOS of intrathoracic lymph nodes
72774,B642.00,Subacute lymphoid leukaemia
72803,B565z00,Secondary and unspec malig neop intrapelvic LN NOS
72947,B802100,Carcinoma in situ of fundus of stomach
73076,B810700,Carcinoma in situ of vestibular fold
73164,B808400,Carcinoma in situ of cystic duct
73213,B581.00,Secondary malignant neoplasm of other urinary organs
73251,BBEM.00,[M]Malignant melanoma in giant pigmented naevus
73275,BB5N100,[M]Adenocarcinoma in adenomatous polposis coli
73296,Byu3100,"[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd"
73434,BB5L300,[M]Adenocarcinoma in multiple adenomatous polyps
73439,B064z00,Malignant neoplasm of anterior epiglottis NOS
73510,B550500,Malignant neoplasm of supraclavicular fossa NOS
73530,B305.00,Malignant neoplasm of hand bones
73532,B613300,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node"
73536,B327000,Malignant melanoma of hip
73537,B201z00,"Malig neop auditory tube, middle ear, mastoid air cells NOS"
73538,B563z00,Secondary and unspec malig neop axilla and upper limb LN NOS
73556,B305z00,Malignant neoplasm of hand bones NOS
73614,B004000,"Malignant neoplasm of lip unspecified, buccal aspect"
73616,B58y200,Secondary malignant neoplasm of cervix uteri
73718,B310z00,"Malig neop connective and soft tissue head, face, neck NOS"
73744,B322z00,Malignant melanoma of ear and external auricular canal NOS
73777,B624z00,Leukaemic reticuloendotheliosis NOS
73988,B524500,Malignant neoplasm of peripheral nerve of pelvis
73992,B504.00,Malignant neoplasm of cornea
74896,B161z00,Malignant neoplasm of extrahepatic bile ducts NOS
84368,B565000,Secondary and unspec malig neop internal iliac lymph nodes
86046,B524400,Malignant neoplasm of peripheral nerve of abdomen
86812,B305D00,Malignant neoplasm of phalanges of hand
86820,BBP7.00,"[M]Mesothelioma, biphasic type, malignant"
86996,B501000,Malignant neoplasm of connective tissue of orbit
86997,Byu2400,[X]Malignant neoplasm/ill-defined sites within resp system
87003,BBLC100,"[M]Mesenchymoma, malignant"
87113,B54X.00,"Malignant neoplasm-pluriglandular involvement,unspecified"
87335,B624.12,Hairy cell leukaemia
88022,ByuC400,[X]Secondary malignant neoplasm/oth+unspcfd digestive organs
88144,B52y.00,Malignant neoplasm of other specified part of nervous system
88362,B08y.00,Malignant neoplasm of other specified hypopharyngeal site
89258,B524200,"Malignant neoplasm of peripheral nerve of low limb, incl hip"
89329,ByuD800,[X]Other specified leukaemias
89593,B151200,Malignant neoplasm of intrahepatic biliary passages
89657,B626z00,Malignant mast cell tumour NOS
89762,ByuD700,[X]Other monocytic leukaemia
89909,B003200,"Malignant neoplasm of lower lip, mucosa"
89916,B553100,Malignant neoplasm of presacral region
90124,B067.00,Malignant neoplasm of posterior wall of oropharynx
90201,B62x000,T-zone lymphoma
90290,B18y700,Malignant neoplasm of mesentery
90546,B312z00,Malig neop connective and soft tissue hip and leg NOS
90610,B002300,"Malignant neoplasm of upper lip, oral aspect"
90659,B54y.00,Malignant neoplasm of other specified endocrine gland
91035,B010z00,Malignant neoplasm of fixed part of tongue NOS
91037,B06yz00,Malignant neoplasm of other specified site of oropharynx NOS
91240,B517300,Malignant neoplasm of pons
91457,Byu5900,"[X]Malignant neoplasm/connective + soft tissue,unspecified"
91509,B471z00,Malignant neoplasm of descended testis NOS
91586,B311400,Malignant neoplasm of connective and soft tissue of finger
91674,B621300,Mycosis fungoides of intra-abdominal lymph nodes
91843,B003100,"Malignant neoplasm of lower lip, frenulum"
91895,B064100,Malignant neoplasm of glossoepiglottic fold
91896,Byu5800,"[X]Mal neoplasm/connective+soft tissue of trunk,unspecified"
91900,B61z400,Hodgkin's disease NOS of lymph nodes of axilla and arm
92068,B620300,Nodular lymphoma of intra-abdominal lymph nodes
92245,B613200,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes"
92329,B48yz00,Malignant neoplasm of other male genital organ NOS
92371,B304300,Malignant neoplasm of radius
92380,B602500,Burkitt's lymphoma of lymph nodes of inguinal region and leg
92382,B308B00,Malignant neoplasm of fourth metatarsal bone
92703,B560400,Secondary and unspec malig neop deep parotid lymph nodes
92720,B243.00,Malignant neoplasm of posterior mediastinum
93175,BBZ2.11,[M]Intraosseous carcinoma
93218,B03z.00,Malignant neoplasm of gum NOS
93342,B66z.00,Monocytic leukaemia NOS
93384,B62z200,Unspec malig neop lymphoid/histiocytic of intrathoracic node
93478,B138.00,"Malignant neoplasm, overlapping lesion of colon"
93537,B517200,Malignant neoplasm of midbrain
93665,Byu5300,"[X]Kaposi's sarcoma, unspecified"
93716,B561z00,Secondary and unspec malig neop intrathoracic LN NOS
93762,B42..00,Malignant neoplasm of placenta
93778,B1z1z00,Malignant neoplasm of spleen NOS
93842,B062300,Malignant neoplasm of palatopharyngeal arch
93951,B613500,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg"
94000,9Ow1.00,Bowel cancer detected by national screening programme
94005,B615z00,"Hodgkin's disease, mixed cellularity NOS"
94083,BB5P.00,[M]Solid carcinoma NOS
94174,B67y.00,Other and unspecified leukaemia
94220,B540100,Malignant neoplasm of adrenal medulla
94272,B314100,Malig neoplasm of connective and soft tissues of lumb spine
94278,B110111,Malignant neoplasm of gastro-oesophageal junction
94279,B61z700,Hodgkin's disease NOS of spleen
94355,B55y200,Malignant neoplasm of flank NOS
94390,B070.00,Malignant neoplasm of roof of nasopharynx
94407,B615100,"Hodgkin's mixed cellularity of lymph nodes head, face, neck"
94415,B623100,"Malignant histiocytosis of lymph nodes head, face and neck"
94427,B305C00,Malignant neoplasm of fifth metacarpal bone
94438,BB85z00,[M]Signet ring carcinoma NOS
94441,B003300,"Malignant neoplasm of lower lip, oral aspect"
94776,B1z2.00,"Malignant neoplasm, overlapping lesion of digestive system"
94810,BBB4.00,[M]Adenocarcinoma with spindle cell metaplasia
94975,B241300,Malignant neoplasm of pericardium
94995,B620500,Nodular lymphoma of lymph nodes of inguinal region and leg
95008,BB82112,[M]Gelatinous adenocarcinoma
95012,B621800,Mycosis fungoides of lymph nodes of multiple sites
95016,B0z1.00,Malignant neoplasm of Waldeyer's ring
95049,B616000,Hodgkin's lymphocytic depletion of unspecified site
95057,B34y000,Malignant neoplasm of ectopic site of female breast
95058,B600700,Reticulosarcoma of spleen
95150,BB81B00,[M]Serous surface papillary carcinoma
95182,B308100,Malignant neoplasm of talus
95323,B35z000,Malignant neoplasm of ectopic site of male breast
95338,B613600,"Hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes"
95373,BBCC100,"[M]Leydig cell tumour, malignant"
95378,B561200,Secondary and unspec malig neop diaphragmatic lymph nodes
95390,B800.00,"Carcinoma in situ of lip, oral cavity and pharynx"
95421,B45y.00,Malignant neoplasm of other specified female genital organ
95429,B071.00,Malignant neoplasm of posterior wall of nasopharynx
95458,B300300,Malignant neoplasm of nasal bone
95505,B41y000,Malignant neoplasm of cervical stump
95545,B627911,Maltoma
95559,B81yz00,Carcinoma in situ of specified parts respiratory system NOS
95609,BB5B300,"[M]Insulinoma, malignant"
95629,B325500,Malignant melanoma of perineum
95630,B62x600,True histiocytic lymphoma
95644,B241.00,Malignant neoplasm of heart
95671,Byu5700,"[X]Malignant neoplasm of peritoneum, unspecified"
95715,B627900,Mucosa-associated lymphoma
95772,B051000,Malignant neoplasm of upper buccal sulcus
95783,B17yz00,Malignant neoplasm of specified site of pancreas NOS
95792,B62zz00,Lymphoid and histiocytic malignancy NOS
95818,BBD1.00,"[M]Paraganglioma, malignant"
95949,B621000,Mycosis fungoides of unspecified site
96003,B055000,Malignant neoplasm of junction of hard and soft palate
96094,B119.00,Siewert type III adenocarcinoma
96226,ByuC100,[X]Malignant neoplasm/overlap lesion/other+ill-defined sites
96231,BBGJ.00,"[M]Fibroxanthoma, malignant"
96379,B621400,Mycosis fungoides of lymph nodes of axilla and upper limb
96429,B470z00,Malignant neoplasm of undescended testis NOS
96445,B300B00,Malignant neoplasm of turbinate
96585,B32y000,Overlapping malignant melanoma of skin
96635,B17y000,Malignant neoplasm of ectopic pancreatic tissue
96782,B003z00,"Malignant neoplasm of lower lip, inner aspect NOS"
96802,B11y100,Malignant neoplasm of posterior wall of stomach NEC
96869,B071z00,Malignant neoplasm of posterior wall of nasopharynx NOS
96971,B20y.00,"Malig neop other site nasal cavity, middle ear and sinuses"
97091,ByuC500,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs
97200,B81y400,Carcinoma in situ of Eustachian tube
97332,B213z00,Malignant neoplasm of laryngeal cartilage NOS
97499,B118.00,Siewert type II adenocarcinoma
97530,B051100,Malignant neoplasm of lower buccal sulcus
97547,B551200,Malignant neoplasm of intrathoracic site NOS
97577,B602300,Burkitt's lymphoma of intra-abdominal lymph nodes
97593,BBZG.00,"[M]Ameloblastoma, malignant"
97672,B576z00,Secondary malig neop of retroperitoneum or peritoneum NOS
97746,B61z800,Hodgkin's disease NOS of lymph nodes of multiple sites
97832,B58y211,Secondary cancer of the cervix
97852,BBk7.00,"[M]Malignant lymphoma, centroblastic type, follicular"
97863,B615000,"Hodgkin's disease, mixed cellularity of unspecified site"
97875,B175.00,"Malignant neoplasm, overlapping lesion of pancreas"
97954,B81y.00,Carcinoma in situ of other specified part respiratory system
97996,B44y.00,Malignant neoplasm of other site of uterine adnexa
98104,B23y.00,Malignant neoplasm of other specified pleura
98142,B107.00,Siewert type I adenocarcinoma
98322,BBT7100,"[M]Haemangioendothelioma, malignant"
98361,Byu5B00,[X]Kaposi's sarcoma of other sites
98408,B313z00,Malig neop of connective and soft tissue of thorax NOS
98500,B002200,"Malignant neoplasm of upper lip, mucosa"
98537,B201100,Malignant neoplasm of tympanic cavity
98540,B808z00,Carcinoma in situ of liver or biliary system NOS
98559,BBW8.00,"[M]Chondroblastoma, malignant"
98596,ByuD200,[X]Other types of diffuse non-Hodgkin's lymphoma
98626,B563100,Secondary and unspec malig neop supratrochlear lymph nodes
98781,BB5F.00,[M]Trabecular adenocarcinoma
98813,B500.00,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid"
98825,BB5B600,[M]Mixed islet cell and exocrine adenocarcinoma
98840,B610300,Hodgkin's paragranuloma of intra-abdominal lymph nodes
98883,BB9D.00,[M]Medullary carcinoma with lymphoid stroma
98909,B611100,"Hodgkin's granuloma of lymph nodes of head, face and neck"
98911,B200100,Malignant neoplasm of nasal conchae
98961,BBk2.00,"[M]Malignant lymphoma, centroblastic-centrocytic, follicular"
99001,B002100,"Malignant neoplasm of upper lip, frenulum"
99012,B61z500,Hodgkin's disease NOS of lymph nodes inguinal region and leg
99015,B66y.00,Other monocytic leukaemia
