prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
14340,1966,90459020,Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),Insulin isophane bovine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
11936,3956,92209020,Sharpsguard orange Container 1 litre (Daniels Pharmaceutical Ltd),,1 Litre,Container,,06010103/59040000,Diabetes Hypodermic Equipment/-,Feb-09
15199,3707,78679020,Insuman comb 25 100iu/ml Injection (Aventis Pharma),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
33914,4,87092020,Omnican 30 12mm 29G 0.3ml Syringe (B.Braun Medical Ltd),,12mm 29g 0.3ml,Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
21395,583,80962020,Insulin biphasic isophane human pyr 40:60; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,40:60; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
21374,286,80965020,Insulin biphasic isophane human prb 40:60; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,40:60; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
28645,23,77783020,Milward steri-let type A Lancet sterile single use 0.66mm/23gauge (Entaco Ltd),,0.66mm/23gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
51743,1,12557020,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Sigma Pharmaceuticals Plc),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Jan-13
1805,51608,55087020,Mixtard 30/70 100unit/ml Injection (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100unit/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
49506,6,13878021,Insujet needle free starter kit Starter kit (European Pharma Group BV),,,Starter Kit,,6010103,Diabetes Hypodermic Equipment,Jan-13
24800,4051,90441020,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),Insulin soluble porcine/Insulin isophane porcine,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous/Intramuscular,6010151,Biphasic Insulins,Feb-09
36146,54,90755020,Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml cartridges,Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
9302,1958,55088020,Sterile single use hypodermic Needle 0.5mm/25gauge,,0.5mm/25gauge,Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
19877,2798,90289020,Insulin aspart 100units/ml solution for injection 3ml pre-filled disposable devices,Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
11055,1096,80959020,Insulin biphasic isophane human pyr 20:80; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,20:80; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
14270,26508,90321020,Humalog Mix25 Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin lispro/Insulin lispro protamine,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
45158,701,99330020,Insuman Comb 15 100units/ml suspension for injection 3ml cartridges (Sanofi),Insulin soluble human/Insulin isophane human,15unit/1ml + 85unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,May-11
13274,317,82036020,Clinipak u100 single use ins syr+12mm need28g 1ml [rand] 1ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd),,1ml,Insulin Syringe With 28gauge Needle 12mm,,6010103,Diabetes Hypodermic Equipment,Feb-09
4715,125131,52542020,Humalog mix 25 25/75 100units/ml Injection (Eli Lilly and Company Ltd),Insulin Lispro/Insulin Lispro Protamine,25/75 100units/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
5021,723687,55179020,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),Insulin aspart,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
7300,28451,90658020,Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
12299,1783,51532020,Semitard mc 100unit/ml Injection (Novo Nordisk Ltd),Pork Insulin,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
62276,34,36453020,Humulin R 500units/ml solution for injection 20ml vials (Imported (United States)),Insulin human,500unit/1ml,Solution for injection,Subcutaneous,6010100,Insulins,Jan-15
12892,940,82034020,Clinipak u100 single use ins syr+12mm need28g 0.5ml [rand] 0.5ml Insulin syringe with 28gauge needle 12mm (Rand Rocket Ltd),,0.5ml,Insulin Syringe With 28gauge Needle 12mm,,6010103,Diabetes Hypodermic Equipment,Feb-09
37216,9,1721021,Sharpsguard purple Container 1 litre (Daniels Pharmaceutical Ltd),,1 Litre,Container,,06010103/59040000,Diabetes Hypodermic Equipment/-,Feb-09
30074,13,66780020,Sabre single use Hypodermic single use needle 0.4mm 27G 12mm (Sabre International),,12mm,Hypodermic Single Use Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
9297,1473,72992020,Baylet Lancet sterile single use 0.5mm/25gauge (Bayer Diagnostics Manufacturing Ltd),,0.5mm/25gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
5285,158,82638020,Unilet GP Lancet sterile single use Type A 0.38mm/28gauge (Owen Mumford Ltd),,0.38mm/28gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
59500,1,12620020,Insulin isophane human 100units/ml suspension for injection 5ml vials,Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Apr-14
7772,18115,54127020,Human protaphane 100unit/ml Injection (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
1595,41730,79661020,Insulatard NovoLet 100units/ml suspension for injection (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
1886,150098,55080020,Insulatard 100iu/ml GE injection (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
24795,925,90291020,Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges,Insulin aspart/Insulin aspart protamine,30unit/1ml + 70unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Feb-09
7402,30087,90335020,Lantus 100units/ml solution for injection 10ml vials (Sanofi),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
24593,139,63828020,Neutral insulin bovine 100unit/ml Injection,Insulin Soluble Bovine,100unit/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
55462,2113,47930020,Tresiba FlexTouch 100units/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin degludec,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Jun-13
30209,265,54131020,Actrapid mc 100unit/ml Injection (Arun Products Ltd),Insulin soluble porcine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
10184,8592,87904020,Insulin detemir 100 iu/ml Solution for injection,Insulin Detemir,100 Iu/ml,Solution For Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
12297,15233,57909020,Hypurin bovine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),Insulin Soluble Bovine,100unit/ml,Injection,Subcutaneous Injection,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
37585,1511,1722021,Sharpsguard yellow Container 1 litre (Daniels Pharmaceutical Ltd),,1 Litre,Container,,06010103/59040000,Diabetes Hypodermic Equipment/-,Feb-09
12638,2842,80944020,Insulin soluble human pyr 100unit/ml Injection,Insulin Soluble Human,100unit/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
36920,30721,93948020,Apidra 100units/ml solution for injection 3ml pre-filled SoloStar pen (Sanofi),Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
1800,11456,70983020,Ames type B Lancet sterile single use 0.5mm/25gauge (Bayer Diagnostics Manufacturing Ltd),,0.5mm/25gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
35078,1430,97807020,Optipen pro 1 blue insulin pen 3ml/1-60 units 3ml/1-60 units Insulin pen (Aventis Pharma),,3ml/1-60 Units,Insulin Pen,,6010103,Diabetes Hypodermic Equipment,Feb-09
7412,5702,82954020,U100 Insulin syringe 0.5ml,,0.5ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
5891,8682,79190020,Insulatard FlexPen 100units/ml suspension for injection (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
23993,323,90189020,Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
5845,102865,82033020,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010151,Biphasic Insulins,Feb-09
14357,53193,90275020,Humulin I 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
13416,359,63790020,Insulin biphasic 100 units/ml Injection,Insulin/Insulin Soluble Porcine,100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
2809,80305,55077020,Unilet type B Lancet sterile single use (Owen Mumford Ltd),,,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
10264,20831,90313020,Humalog Pen 100units/ml solution for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin lispro,100unit/1ml,Solution for injection,Intravenous/Intramuscular/Subcutaneous,6010101,Short-acting Insulins,Feb-09
1779,68340,67214020,Unilet G superlite type A Lancet sterile single use 0.66mm/23gauge (Owen Mumford Ltd),,0.66mm/23gauge,Lancet Sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
13729,386,80954020,Insulin isophane human emp 100unit/ml Injection,Insulin Isophane Human,100unit/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
5501,1179,56543020,Insuman basal 100iu/ml Injection (Aventis Pharma),Insulin Isophane Human,100iu/ml,Injection,Subcutaneous Injection,6010102,Intermediate- And Long-acting Insulins,Feb-09
12035,449,63840020,Insulin zinc mixed bovine 100units/ml suspension for injection 10ml vials,Insulin zinc suspension mixed bovine,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
14944,34931,90185020,Humulin S 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd),Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
1589,408133,55111020,U100 Insulin syringe 0.5ml,,0.5ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
15961,293,70102020,Insulin isophane human crb 100iu/ml Injection,Insulin Isophane Human,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
7237,132981,90337020,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pen (Sanofi),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
42954,8,90249020,Insulin isophane biphasic human 25/75 100units/ml suspension for injection 5ml vials,Insulin soluble human/Insulin isophane human,25unit/1ml + 75unit/1ml,Suspension for injection,Subcutaneous,6010151,Biphasic Insulins,Jul-10
9521,11673,85937020,Pork Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),Insulin soluble porcine,100unit/1ml,Solution for injection,Subcutaneous/Intravenous/Intramuscular,6010101,Short-acting Insulins,Feb-09
57622,9,12632020,Humalog Mix50 KwikPen 100units/ml suspension for injection 3ml pre-filled pen (Waymade Healthcare Plc),Insulin lispro/Insulin lispro protamine,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Oct-13
49831,8,10359020,Lantus 100units/ml solution for injection 3ml pre-filled SoloStar pen (Necessity Supplies Ltd),Insulin glargine,100unit/1ml,Solution for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Jan-13
1593,209885,55081020,Insulatard penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
10572,2272,63781020,Insulin soluble bovine 100unit/ml Injection,Insulin Soluble Bovine,100unit/ml,Injection,,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Feb-09
27614,1316,70049020,Penmix 30/70 100iu/ml Injection (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,100iu/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
63562,6,44180021,Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices,,,,,06010102/06010203,Intermediate- And Long-acting Insulins/Other Antidiabetic Drugs,Jul-15
27402,148,90177020,Insulin soluble human 100units/ml solution for injection 10ml vials,Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
9619,254,80673020,"Bd Ultra Pen 1.5ml Insulin pen (Becton, Dickinson UK Ltd)",,1.5ml,Insulin Pen,,6010103,Diabetes Hypodermic Equipment,Feb-09
16825,291,59798020,General purpose lancet,,,Lancet-sterile Single Use,,06010103/59010400,Diabetes Hypodermic Equipment/-,Feb-09
19491,2949,89723020,Apidra 100units/ml solution for injection 10ml vials (Sanofi),Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
25812,359,90267020,Insulin isophane human 100units/ml suspension for injection 3ml pre-filled disposable devices,Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
14299,602,90343020,Insulin glulisine 100units/ml solution for injection 3ml cartridges,Insulin glulisine,100unit/1ml,Solution for injection,Subcutaneous,6010101,Short-acting Insulins,Feb-09
35551,4,90667020,Neoject Hypodermic needle 0.45mm/26gauge/16mm (Neomedic Ltd),,0.45mm/26gauge/16mm,Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
3396,957,70111020,Penmix 10/90 Penfill (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,,Penfill,,6010102,Intermediate- And Long-acting Insulins,Feb-09
47360,15,54156020,Neutral insulin 100unit/ml Injection (Celltech Pharma Europe Ltd),Insulin Soluble Bovine,100unit/ml,Injection,Subcutaneous Injection,06010101/06010300,Short-acting Insulins/Diabetic Ketoacidosis,Jun-12
14589,819,66773020,"Microlance sterile Hypodermic single use needle 0.45mm/26gauge/16mm (Becton, Dickinson UK Ltd)",,0.45mm/26gauge/16mm,Hypodermic Single Use Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
24554,25,85784020,Unifine single use Insulin syringe with 30gauge needle 8mm 0.3ml (Owen Mumford Ltd),,0.3ml,Insulin Syringe With 30gauge Needle 8mm,,6010103,Diabetes Hypodermic Equipment,Feb-09
13516,12248,57906020,Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd),Insulin isophane bovine,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
21235,5693,90183020,Humulin S 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd),Insulin soluble human,100unit/1ml,Solution for injection,Intravenous/Subcutaneous,6010101,Short-acting Insulins,Feb-09
2220,1048,74960020,Penmix 20/80 Pen (Novo Nordisk Ltd),Insulin Soluble Human/Insulin Isophane Human,,Pen,,6010102,Intermediate- And Long-acting Insulins,Feb-09
35017,123,97809020,Optipen pro 1 white insulin pen 3ml/1-60 units 3ml/1-60 units Insulin pen (Aventis Pharma),,3ml/1-60 Units,Insulin Pen,,6010103,Diabetes Hypodermic Equipment,Feb-09
10229,5406,90277020,Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pen (Eli Lilly and Company Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
29837,2,86928020,Insulin biphasic isophane human prb 25:75; 100 units/ml Injection,Insulin Soluble Human/Insulin Isophane Human,25:75; 100 Units/ml,Injection,,6010102,Intermediate- And Long-acting Insulins,Feb-09
4790,26458,79676020,Mixtard 50 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),Insulin soluble human/Insulin isophane human,50unit/1ml + 50unit/1ml,Suspension for injection,Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
10208,37071,90654020,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pen (Novo Nordisk Ltd),Insulin isophane human,100unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010102,Intermediate- And Long-acting Insulins,Feb-09
18149,665,89679020,Monoject u100 insulin syringe 12mm(29g)0.5ml 12mm29G 0.5ml Insulin syringe (Covidien (UK) Commercial Ltd),,12mm29g 0.5ml,Insulin Syringe,,6010103,Diabetes Hypodermic Equipment,Feb-09
11617,2261,80700020,Pen Injector screw on hypodermic needle < or = 6.1mm,,Length Less Or Equal To 6.1mm,Injector Screw On Hypodermic Needle,,06010103/59030200,Diabetes Hypodermic Equipment/-,Feb-09
19878,288,90207020,Insulin isophane biphasic human 30/70 100units/ml suspension for injection 3ml pre-filled disposable devices,Insulin soluble human/Insulin isophane human,30unit/1ml + 70unit/1ml,Suspension for injection,Intramuscular/Subcutaneous,6010151,Biphasic Insulins,Feb-09
