medcode,readcode,readterm,
91254,Z235200,Rounded pregnant abdomen,
109932,Z235211,Globular pregnant abdomen,
59650,Z235300,Transversely enlarged pregnant abdomen,
56953,Z235400,Pendulous pregnant abdomen,
107698,Z236300,Pregnant uterus displaced laterally,
37038,Z23D100,Girth of pregnant abdomen,
10173,Z23D200,Pregnant abdomen observation,
7916,Z254500,Delivered by caesarean section - pregnancy at term,
25731,Z27..00,Obstetric investigative observation,
32913,Z28..00,Obstetric pelvic observation,
96490,Z285C00,Obstetric conjugate of pelvis,
18458,Z29..00,Postnatal examination observations,
63448,Z675.00,Antenatal class,
10205,ZG9..00,Advice relating to pregnancy and fertility,
26012,ZL1C.00,Under care of obstetrician and gynaecologist,
21759,ZL9B200,Seen by obstetrician,
39446,ZRBY.00,Edinburgh postnatal depression scale,
25238,ZRBY.11,EPDS - Edinburgh postnatal depression scale,
27952,ZV13900,"[V]PH comp of pregnancy, childbirth and the puerperium",
6184,ZV22.00,[V]Normal pregnancy,
55730,ZV22.11,[V]Supervision of normal pregnancy,
38346,ZV22000,[V]First normal pregnancy supervision,
56252,ZV22100,[V]Other normal pregnancy supervision,
35912,ZV22200,[V]Pregnancy confirmed,
16611,ZV22300,"[V]Pregnant state, incidental",
93303,ZV22400,[V]Supervision of other normal pregnancy,
23831,ZV22y00,[V]Other specified pregnant state,
46270,ZV22z00,[V]Unspecified pregnant state,
21196,ZV23.00,[V]High-risk pregnancy supervision,
52685,ZV23000,[V]Pregnancy with history of infertility,
48534,ZV23100,[V]Pregnancy with history of trophoblastic disease,
44057,ZV23111,[V]Pregnancy with history of hydatidiform mole,
65834,ZV23200,[V]Pregnancy with history of abortion,
26852,ZV23400,[V]Pregnancy with other poor obstetric history,
55618,ZV23600,[V]Supervisn/pregnancy wth history insufficnt antenatal care,
6580,ZV23800,[V]Supervision of high-risk pregnancy due to social problems,
54701,ZV23y00,[V]Other specified high-risk pregnancy,
69722,ZV23z00,[V]Unspecified high-risk pregnancy,
6217,ZV24.11,[V]Postnatal care and examination,
20910,ZV25311,[V]Admission for termination of pregnancy (TOP),
20621,ZV25313,[V]Admission for termination of pregnancy,
53201,ZV25B00,[V]Admission for administration of abortifacient,
6298,ZV28.00,[V]Antenatal screening,
49665,ZV28600,[V]Antenatal screening for chromosomal anomalies,
40597,ZV28y00,[V]Other specified antenatal screening,
67926,ZV28z00,[V]Unspecified antenatal screening,
20623,ZV4J000,[V]Problems related to unwanted pregnancy,
43344,ZV61800,[V]Illegitimate pregnancy,
15033,ZV61900,[V]Other unwanted pregnancy,
105694,ZVu2300,[X]Supervision of other normal pregnancy,
73734,ZVu2900,[X]Other antenatal screening,
